Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,HORTICULTURE,Fruits,Acid Lime,	Plant Protection	,Asked about citrus canker management,recommended for spray copper oxychloride 2.5gm + tetra cycline 1 gm /lit of water,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-09-04 8:42:41
KHARIF,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,shoot borer in brinjal,Recommended for spray profenophos 2ml + teepol 1ml + neemoil 3ml/lit of water,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-09-07 11:18:58
KHARIF,AGRICULTURE,Others,Others,	Plant Protection	,Asking about Root rot management in casurina,Recommended for carbendazim 2 gram / litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-08 15:34:01
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Asking about carbofuron application for paddy nursery,Recommended for apply carbofuron 33 gram /cent,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-09 8:37:45
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Thrips attack in paddy nursery,Recommended for spray Azadirachtin 3 ml / litre of water,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-09-09 13:57:47
KHARIF,HORTICULTURE,Flowers,Chrysanthemum,	Plant Protection	,asking about chrysanthemum root rot,recommended for apply pseudomonas fluorescens - 1 kg + FYM - 25 kg/ acre,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-20 15:16:28
KHARIF,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,asking about brinjal shoot borer management,recommended for spray Chlorpyrifos- 2 ml/ lit of water,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM                                       ,2016-09-23 12:04:05
KHARIF,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,fruit borer in brinjal,Recommended for spray Dimethoate 2ml + teepol 1ml + neemoil 3ml/lit of water,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-09-25 6:46:13
KHARIF,AGRICULTURE,Others,Others,	Plant Protection	,asking about casurina root rot management,recommended for drench with copper oxy chloride 2.5 g / lit of water.,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-09-27 9:47:02
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,root rot in paddy,Recommended for soil application of Trichoderma viride 1 kg + 20 kg sand / ac,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-09-28 18:39:38
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,Asking about Pondicherry kvk number,Recommended for contact number 04368 236479,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-01 15:26:57
KHARIF,HORTICULTURE,Fruits,Acid Lime,Plant Protection,Asked about citrus canker management,recommended for spray copper oxychloride 2.5gm + tetra cycline 1 gm /lit of water,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-09-04 8:42:41
KHARIF,AGRICULTURE,Millets,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),Market Information,Asking about bajra market rate,Recommended for bajra market rate theni Rs 1760-1840/quintal,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-05 18:30:25
KHARIF,AGRICULTURE,Fodder Crops,fodder sorghum,Seeds,CO (FS) 29 Fodder Cholam seeds availability,recommended for contact to TNAU Department to forage crops ph 0422-6611228,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-06 9:04:20
KHARIF,AGRICULTURE,Fodder Crops,Napier Grass,Seeds,Forage seeds availability information,"Recommended for contact to Department of Forage Crops, TNAU, Coimbatore 0422-6611228",PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-06 9:18:28
KHARIF,HORTICULTURE,Fruits,Banana,Nutrient Management,Banana fertilizer application,Recommended for apply 47 g urea  110 g potash /plant / up to 8 month,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-09-07 8:49:18
KHARIF,HORTICULTURE,Vegetables,Brinjal,Plant Protection,shoot borer in brinjal,Recommended for spray profenophos 2ml + teepol 1ml + neemoil 3ml/lit of water,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-09-07 11:18:58
